日期,天气,气温,风向
2018-01-01,多云,1C～-4C,东南风 微风
2018-01-02,阴转多云,8C～0C,东北风 3-4级
2018-01-03,阴转小雪,1C～-1C,东北风 4-5级转4-5级
2018-01-04,阴,0C～-4C,东北风转北风 3-4级转3-4级
2018-01-05,阴转多云,3C～-4C,西风转北风 3-4级转3-4级
2018-01-06,多云转小到中雪,3C～0C,东北风转北风 3-4级转3-4级
2018-01-07,阴转小雪,0C～-2C,东北风转北风 3-4级
2018-01-08,阴转晴,2C～-4C,西风转西北风 5-6级转5-6级
2018-01-09,晴,5C～-6C,西风转西北风 4-5级转4-5级
2018-01-10,晴,1C～-6C,西北风转北风 3-4级
2018-01-11,多云转晴,-1C～-8C,西北风转北风 3-4级转3-4级
2018-01-12,晴,1C～-8C,西南风 3-4级
2018-01-13,多云,6C～-3C,西南风转南风 3-4级
2018-01-14,多云,9C～-3C,西南风转东风 3-4级转3-4级
2018-01-15,多云转阴,9C～2C,北风转东南风 3-4级转3-4级
2018-01-16,雨夹雪转阴,4C～-1C,东北风转南风 3-4级转3-4级
2018-01-17,阴,5C～0C,北风 3-4级转3-4级
2018-01-18,晴转多云,7C～-3C,北风 3-4级转3-4级
2018-01-19,阴转多云,4C～-2C,北风转东北风 3-4级转3-4级
2018-01-20,阴,9C～-1C,西南风 3-4级转3-4级
2018-01-22,多云,7C～-4C,东北风 3-4级
2018-01-23,多云转晴,1C～-8C,东北风 3-4级转3-4级
2018-01-24,转多云,C～-5C,转东北风 转
2018-01-25,阴,-2C～-8C,东北风 3-4级
2018-01-26,晴转多云,-2C～-9C,东北风 3-4级转3-4级
2018-01-27,阴,7C～-1C,东风转东北风 4-5级转4-5级
2018-01-28,多云,1C～-8C,东北风转北风 3-4级转3-4级
2018-01-29,多云转阴,1C～-7C,西北风转西风 3-4级转3-4级
2018-01-30,多云转小雪,3C～-6C,北风转微风 3-4级转3-4级
2018-01-31,晴,3C～-5C,西北风转西风 3-4级转3-4级
2018-02-01,多云,7C～-7C,南风 3-4级转3-4级
2018-02-02,多云转晴,3C～-7C,北风 4-5级转4-5级
2018-02-03,晴转多云,2C ～ -8C,西北风 微风
2018-02-04,晴转多云,4C ～ -8C,北风 微风
2018-02-05,晴转多云,4C ～ -8C,北风 微风
2018-02-06,多云,3C ～ -6C,南风 微风
2018-02-07,晴,6C～-7C,南风转北风 3-4级
2018-02-08,晴转多云,4C～-4C,北风转南风 3-4级
2018-02-09,多云,6C～-3C,南风转北风 3-4级
2018-02-10,阴转晴,4C～-7C,东北风转西北风 3-4级
2018-02-11,多云转晴,3C～-7C,西北风 4-5级
2018-02-12,晴,6C～-5C,西风转西南风 3-4级
2018-02-13,晴转多云,11C～-1C,西南风 4-5级转4-5级
2018-02-14,阴,9C～0C,东风转东北风 3-4级转3-4级
2018-02-15,多云,5C～-2C,东风转南风 3-4级转3-4级
2018-02-16,多云,5C～-5C,西风 3-4级
2018-02-17,多云,9C～1C,北风转东风 3-4级转3-4级
2018-02-18,阴,8C～0C,东风 3-4级转3-4级
2018-02-19,阴,8C～-1C,东风转北风 3-4级转3-4级
2018-02-20,阴转雨夹雪,9C～0C,东北风 3-4级
2018-02-21,小雨转阴,6C～1C,东北风转南风 3-4级转3-4级
2018-02-22,多云转晴,12C～-1C,北风转南风 3-4级
2018-02-23,晴转多云,15C～2C,西南风转南风 3-4级
2018-02-24,多云转阴,7C～-1C,北风转东北风 4-5级转4-5级
